-6.338	-2.993	10.136				
-6.641	-2.911	9.787				
-7.167	-2.87	9.412				
-7.614	-2.92	9.386				
-7.862	-2.964	9.498				
-8.339	-3.067	10.007				
-8.744	-3.165	10.779				
-9.051	-3.202	11.639				
-9.223	-3.154	12.404				
-9.298	-3.101	12.932				
-9.294	-3.079	13.165				
-9.227	-3.083	13.084				
-9.214	-3.144	12.677				
-9.247	-3.246	11.982				
-9.139	-3.332	11.199				
-8.585	-3.299	10.203				
-8.585	-3.299	10.203				
-7.983	-3.137	9.626				
-7.571	-3.039	9.327				
-5.159	-2.773	8.032				
-3.831	-2.66	7.436				
-1.878	-2.235	6.653				
-1.192	-2.03	6.38				
0.206	-1.584	5.797				
1.412	-1.179	5.217				
2.178	-0.764	4.786				
2.178	-0.764	4.786				
2.108	-0.439	5.029				
2.154	-0.002	5.456				
2.323	0.214	5.647				
3.211	0.617	5.994				
3.97	0.72	6.18				
4.317	0.953	6.553				
4.395	1.075	6.685				
4.583	1.328	6.876				
4.826	1.537	6.986				
5.178	1.784	7.126				
5.265	1.873	7.145				
5.388	2.045	7.086				
5.478	2.229	6.908				
5.552	2.329	6.897				
5.661	2.429	7.048				
5.783	2.49	7.359				
5.964	2.494	7.762				
6.241	2.454	8.183				
6.387	2.415	8.377				
6.65	2.193	8.633				
6.687	2.1	8.591				
6.78	1.973	8.435				
6.973	1.967	8.309				
7.335	2.193	8.325				
7.479	2.403	8.387				
7.517	2.493	8.364				
7.554	2.609	8.181				
7.541	2.639	7.933				
7.23	2.525	7.746				
6.869	2.36	7.773				
6.693	2.257	7.836				
6.276	1.91	8.25				
6.173	1.8	8.42				
5.953	1.522	8.946				
5.907	1.446	9.134				
5.808	1.305	9.526				
5.576	1.139	10.088				
5.513	1.091	10.216				
5.447	0.999	10.338				
5.479	0.947	10.268				
5.675	1.018	9.742				
5.807	1.144	9.059				
5.786	1.264	8.187				
5.684	1.291	7.728				
5.064	1.145	6.352				
4.483	0.838	5.328				
3.817	0.414	3.861				
