-0.011	-0.026	9.794
-0.013	-0.026	9.793
-0.013	-0.019	9.79
-0.005	-0.019	9.775
-0.002	-0.023	9.77
-0.011	-0.024	9.778
-0.018	-0.026	9.787
-0.017	-0.03	9.793
-0.011	-0.029	9.796
-0.014	-0.023	9.794
-0.018	-0.008	9.799
-0.017	-0.029	9.781
-0.025	-0.04	9.785
-0.027	-0.038	9.794
-0.013	-0.04	9.795
-0.007	-0.032	9.787
-0.008	-0.026	9.775
-0.014	-0.025	9.771
-0.016	-0.023	9.775
-0.015	-0.026	9.792
-0.015	-0.032	9.795
-0.02	-0.03	9.803
-0.024	-0.026	9.787
-0.023	-0.025	9.787
-0.008	-0.024	9.78
-0.005	-0.026	9.78
-0.007	-0.03	9.785
-0.011	-0.029	9.789
-0.012	-0.038	9.797
-0.016	-0.033	9.793
-0.025	-0.03	9.786
-0.027	-0.032	9.778
-0.02	-0.023	9.783
-0.013	-0.025	9.783
-0.015	-0.028	9.791
-0.019	-0.023	9.803
-0.018	-0.025	9.809
-0.011	-0.032	9.808
-0.007	-0.032	9.802
-0.012	-0.031	9.793
-0.016	-0.025	9.787
-0.032	-0.027	9.778
-0.034	-0.028	9.779
-0.022	-0.018	9.792
-0.014	-0.014	9.804
-0.017	-0.028	9.779
-0.018	-0.034	9.78
-0.015	-0.023	9.806
-0.004	-0.014	9.804
-0.017	-0.029	9.781
-0.005	-0.029	9.79
0.003	-0.024	9.806
0	-0.027	9.807
-0.007	-0.03	9.791
-0.018	-0.028	9.79
-0.029	-0.026	9.794
-0.032	-0.028	9.796
-0.023	-0.028	9.791
-0.007	-0.031	9.782
-0.005	-0.023	9.772
-0.019	-0.009	9.771
-0.024	-0.011	9.781
-0.019	-0.02	9.792
-0.02	-0.034	9.794
-0.017	-0.026	9.789
-0.014	-0.03	9.787
-0.027	-0.028	9.778
-0.037	-0.03	9.785
-0.041	-0.034	9.79
-0.018	-0.034	9.786
-0.016	-0.037	9.787
-0.019	-0.032	9.79
-0.024	-0.026	9.788
-0.023	-0.025	9.783
-0.018	-0.027	9.779
-0.021	-0.027	9.777
-0.024	-0.026	9.782
-0.025	-0.027	9.788
-0.029	-0.021	9.805
-0.028	-0.02	9.808
-0.022	-0.019	9.798
-0.016	-0.025	9.786
-0.019	-0.031	9.779
-0.028	-0.031	9.777
-0.026	-0.022	9.775
-0.015	-0.02	9.781
-0.013	-0.029	9.787
-0.022	-0.031	9.789
-0.025	-0.032	9.791
-0.029	-0.038	9.793
-0.035	-0.036	9.794
-0.026	-0.019	9.795
-0.018	-0.02	9.802
-0.025	-0.024	9.798
-0.032	-0.029	9.775
-0.026	-0.029	9.763
-0.003	-0.024	9.786
-0.01	-0.026	9.797
-0.019	-0.025	9.798
-0.023	-0.022	9.793
-0.02	-0.026	9.783
-0.014	-0.028	9.783
-0.017	-0.02	9.788
-0.022	-0.015	9.789
-0.017	-0.019	9.789
-0.012	-0.023	9.785
-0.014	-0.018	9.777
-0.016	-0.015	9.787
-0.018	-0.015	9.792
-0.017	-0.02	9.793
-0.012	-0.023	9.785
-0.017	-0.026	9.786
-0.031	-0.023	9.788
-0.035	-0.019	9.787
-0.031	-0.022	9.789
-0.023	-0.022	9.797
-0.011	-0.021	9.798
-0.005	-0.018	9.786
-0.007	-0.017	9.775
-0.01	-0.03	9.778
-0.028	-0.037	9.798
-0.029	-0.021	9.788
-0.025	-0.019	9.784
-0.025	-0.035	9.799
-0.013	-0.019	9.798
-0.01	-0.013	9.801
-0.016	-0.019	9.798
